week,run,method,objective
07/18-07/24,3,ZO_OG,37.717107512605004
07/18-07/24,3,ZO_OGVR,3.0447385829800595
07/18-07/24,4,GZO_NS,-7.363806826422626
07/18-07/24,4,GZO_HS,-7.985333978708534
07/18-07/24,4,ZO_TG,-8.056226596568164
07/18-07/24,4,ZO_OG,3.6119178354768726
07/18-07/24,4,ZO_OGVR,-6.282820322191913
07/18-07/24,5,GZO_NS,-8.090517748163139
07/18-07/24,5,GZO_HS,-8.468381848125828
07/18-07/24,5,ZO_TG,-8.935260169738482
07/18-07/24,5,ZO_OG,0.6857988155532998
07/18-07/24,5,ZO_OGVR,-2.5024558012509606
07/18-07/24,6,GZO_NS,-9.974941628344164
07/18-07/24,6,GZO_HS,-10.420773854597755
07/18-07/24,6,ZO_TG,-8.964802028811915
07/18-07/24,6,ZO_OG,5.50764186916402
07/18-07/24,6,ZO_OGVR,-5.855590697510759
07/18-07/24,7,GZO_NS,-8.35864985825029
07/18-07/24,7,GZO_HS,-8.806081448575481
07/18-07/24,7,ZO_TG,-8.389287987565288
07/18-07/24,7,ZO_OG,1.2374602762676528
07/18-07/24,7,ZO_OGVR,-1.0506622975243625
07/18-07/24,8,GZO_NS,-8.69769206358825
07/18-07/24,8,GZO_HS,-8.983227632769726
07/18-07/24,8,ZO_TG,-8.822798124988314
07/18-07/24,8,ZO_OG,2.2720844448306785
07/18-07/24,8,ZO_OGVR,-4.67770891397786
07/18-07/24,9,GZO_NS,-8.038876651710495
07/18-07/24,9,GZO_HS,-8.459364529900542
07/18-07/24,9,ZO_TG,-8.599598399521238
07/18-07/24,9,ZO_OG,1.188292218721229
07/18-07/24,9,ZO_OGVR,-4.196168519740764
07/18-07/24,10,GZO_NS,-10.676428444286422
07/18-07/24,10,GZO_HS,-10.720132595401099
07/18-07/24,10,ZO_TG,-10.113798443976142
07/18-07/24,10,ZO_OG,8.369601583260163
07/18-07/24,10,ZO_OGVR,-5.4111630172445055
07/18-07/24,11,GZO_NS,-9.517819008223375
07/18-07/24,11,GZO_HS,-9.344461399246622
07/18-07/24,11,ZO_TG,-8.256092937376184
07/18-07/24,11,ZO_OG,2.8534127912203915
07/18-07/24,11,ZO_OGVR,-6.650121250062144
07/18-07/24,12,GZO_NS,-8.208651829718034
07/18-07/24,12,GZO_HS,-7.967136955972021
07/18-07/24,12,ZO_TG,-8.466909868229333
07/18-07/24,12,ZO_OG,11.196867110868933
07/18-07/24,12,ZO_OGVR,-3.5486304865503326
07/18-07/24,13,GZO_NS,-8.117309621963203
07/18-07/24,13,GZO_HS,-7.281796287751409
07/18-07/24,13,ZO_TG,-6.662110727440756
07/18-07/24,13,ZO_OG,5.596022348783901
07/18-07/24,13,ZO_OGVR,-4.147730317486651
07/18-07/24,14,GZO_NS,-7.4920371124922625
07/18-07/24,14,GZO_HS,-7.847050725127948
07/18-07/24,14,ZO_TG,-6.5558688182309295
07/18-07/24,14,ZO_OG,10.67733048224141
07/18-07/24,14,ZO_OGVR,-1.1646147458830232
07/18-07/24,15,GZO_NS,-7.739129804385304
07/18-07/24,15,GZO_HS,-8.522071963769044
07/18-07/24,15,ZO_TG,-7.182363768437852
07/18-07/24,15,ZO_OG,6.415810613486105
07/18-07/24,15,ZO_OGVR,-3.937478102897253
07/18-07/24,16,GZO_NS,-7.692656189282774
07/18-07/24,16,GZO_HS,-7.605427408867192
07/18-07/24,16,ZO_TG,-5.633458704609875
07/18-07/24,16,ZO_OG,6.201626474305552
07/18-07/24,16,ZO_OGVR,-2.179070323843803
07/18-07/24,17,GZO_NS,-9.882166404793086
07/18-07/24,17,GZO_HS,-9.657842239438526
07/18-07/24,17,ZO_TG,-9.56825464946629
07/18-07/24,17,ZO_OG,2.190024537861842
07/18-07/24,17,ZO_OGVR,-3.2532402498859074
07/18-07/24,18,GZO_NS,-8.421393680686574
07/18-07/24,18,GZO_HS,-8.613985952387456
07/18-07/24,18,ZO_TG,-8.478622777184626
07/18-07/24,18,ZO_OG,6.149319970855921
07/18-07/24,18,ZO_OGVR,-6.979034918533563
07/18-07/24,19,GZO_NS,-9.319905469451593
07/18-07/24,19,GZO_HS,-9.050416336696454
07/18-07/24,19,ZO_TG,-9.000390004637984
07/18-07/24,19,ZO_OG,7.163543968286661
07/18-07/24,19,ZO_OGVR,-3.555275873420138
08/08-08/14,0,GZO_NS,-14.788090749358627
08/08-08/14,0,GZO_HS,-14.817304847308364
08/08-08/14,0,ZO_TG,-6.852269119570597
08/08-08/14,0,ZO_OG,0.4180643670034533
08/08-08/14,0,ZO_OGVR,-5.7065897400498615
08/08-08/14,1,GZO_NS,-14.429404796661354
08/08-08/14,1,GZO_HS,-16.13304967631404
08/08-08/14,1,ZO_TG,-13.395957936349653
08/08-08/14,1,ZO_OG,-2.841398017918519
08/08-08/14,1,ZO_OGVR,-6.818858038067742
08/08-08/14,2,GZO_NS,-15.990784672406907
08/08-08/14,2,GZO_HS,-16.663670457426612
08/08-08/14,2,ZO_TG,-13.873457327533481
08/08-08/14,2,ZO_OG,-2.5511630650995407
08/08-08/14,2,ZO_OGVR,-6.52905455035829
08/08-08/14,3,GZO_NS,-14.84578011530803
08/08-08/14,3,GZO_HS,-14.489909238552112
08/08-08/14,3,ZO_TG,-6.35657358129215
08/08-08/14,3,ZO_OG,1.5189617202816812
08/08-08/14,3,ZO_OGVR,-5.460829479173899
08/08-08/14,4,GZO_NS,-15.080403606094595
08/08-08/14,4,GZO_HS,-14.660406785555232
08/08-08/14,4,ZO_TG,-7.71553011920614
08/08-08/14,4,ZO_OG,0.2052542843659846
08/08-08/14,4,ZO_OGVR,-7.085919310875352
08/08-08/14,5,GZO_NS,-14.303548126009005
08/08-08/14,5,GZO_HS,-15.565878731502826
08/08-08/14,5,ZO_TG,-10.016238120765276
