week,method,samples,objective
03/21-03/27,ZO_OGVR,116,-0.011752368979792116
03/21-03/27,ZO_OGVR,152,-0.40664137120401894
03/21-03/27,ZO_OGVR,190,-0.8043822800527216
03/21-03/27,ZO_OGVR,230,-0.6353279664677769
03/21-03/27,ZO_OGVR,272,-1.7896126380948016
03/21-03/27,ZO_OGVR,316,-2.447821690582208
03/21-03/27,ZO_OGVR,362,-2.2139848336651577
03/21-03/27,ZO_OGVR,410,-2.3137792646825637
03/21-03/27,ZO_OGVR,460,-2.6330276498248826
03/21-03/27,ZO_OGVR,512,-2.7324631104279433
03/21-03/27,ZO_OGVR,566,-4.18308384495042
03/21-03/27,ZO_OGVR,622,-4.177442952948668
03/21-03/27,ZO_OGVR,680,-4.377320380695691
03/21-03/27,ZO_OGVR,740,-4.5039025747181265
03/21-03/27,ZO_OGVR,802,-4.675365992496312
03/21-03/27,ZO_OGVR,866,-4.757915232385634
03/21-03/27,ZO_OGVR,932,-4.464791924001659
03/21-03/27,ZO_OGVR,1000,-5.463800590045899
03/21-03/27,ZO_OGVR,1070,-5.480941933817992
03/21-03/27,ZO_OGVR,1142,-6.015367802305641
03/21-03/27,ZO_OGVR,1216,-5.931713223295887
03/21-03/27,ZO_OGVR,1292,-6.223241244507375
03/21-03/27,ZO_OGVR,1370,-6.44977925060561
03/21-03/27,ZO_OGVR,1450,-6.56901922331437
03/21-03/27,ZO_OGVR,1532,-6.573992438568039
03/21-03/27,ZO_OGVR,1616,-6.610153582028762
03/21-03/27,ZO_OGVR,1702,-6.626183865847905
03/21-03/27,ZO_OGVR,1790,-7.20317572110888
03/21-03/27,ZO_OGVR,1880,-7.195102374243678
03/21-03/27,ZO_OGVR,1972,-7.1752053063818115
03/21-03/27,ZO_OGVR,2066,-7.2185866718086436
03/21-03/27,ZO_OGVR,2162,-7.2208321169140275
03/21-03/27,ZO_OGVR,2260,-7.103121232523502
03/21-03/27,ZO_OGVR,2360,-7.293812194809776
03/21-03/27,ZO_OGVR,2462,-7.287880563907036
03/21-03/27,ZO_OGVR,2566,-7.310307635674968
03/21-03/27,ZO_OGVR,2672,-7.273819687658978
03/21-03/27,ZO_OGVR,2780,-7.525649471439936
03/21-03/27,ZO_OGVR,2890,-7.451903384160392
03/21-03/27,ZO_OGVR,3002,-7.566812663074309
03/21-03/27,ZO_OGVR,3116,-7.503373664474522
03/21-03/27,ZO_OGVR,3232,-7.599164247236286
03/21-03/27,ZO_OGVR,3350,-7.596580514169282
03/21-03/27,ZO_OGVR,3470,-7.708220382169397
03/21-03/27,ZO_OGVR,3592,-7.721936596638272
03/21-03/27,ZO_OGVR,3716,-7.747093563188823
03/21-03/27,ZO_OGVR,3842,-7.807901583811262
03/21-03/27,ZO_OGVR,3970,-7.767974034462506
03/21-03/27,ZO_OGVR,4100,-7.785734914899696
03/21-03/27,ZO_OGVR,4232,-7.840089017208573
03/21-03/27,ZO_OGVR,4366,-7.793116308301235
03/21-03/27,ZO_OGVR,4502,-7.833558212842716
03/21-03/27,ZO_OGVR,4640,-7.786839080113442
03/21-03/27,ZO_OGVR,4780,-7.8001082922854685
03/21-03/27,ZO_OGVR,4922,-7.764634582275172
03/21-03/27,ZO_OGVR,5066,-7.843298726178697
05/23-05/29,GZO_NS,0,2.8871287603276317
05/23-05/29,GZO_NS,90,2.668226887841293
05/23-05/29,GZO_NS,186,2.449445854093401
05/23-05/29,GZO_NS,288,-2.6290727851054116
05/23-05/29,GZO_NS,396,-3.943599979096098
05/23-05/29,GZO_NS,510,-5.296505472514797
05/23-05/29,GZO_NS,630,-6.878546758780707
05/23-05/29,GZO_NS,756,-8.858984008279025
05/23-05/29,GZO_NS,888,-9.384996872937336
05/23-05/29,GZO_NS,1026,-9.84704230149847
05/23-05/29,GZO_NS,1170,-10.557219226950425
05/23-05/29,GZO_NS,1320,-11.967760893172837
05/23-05/29,GZO_NS,1476,-11.939662357207226
05/23-05/29,GZO_NS,1638,-12.247448165219536
05/23-05/29,GZO_NS,1806,-12.450503989309935
05/23-05/29,GZO_NS,1980,-13.077143341704355
05/23-05/29,GZO_NS,2160,-14.09148393412926
05/23-05/29,GZO_NS,2346,-14.301860659046906
05/23-05/29,GZO_NS,2538,-14.454270467060907
05/23-05/29,GZO_NS,2736,-14.42380019514262
05/23-05/29,GZO_NS,2940,-14.475635919648976
05/23-05/29,GZO_NS,3150,-14.458136857925808
05/23-05/29,GZO_NS,3366,-14.385002146493573
05/23-05/29,GZO_NS,3588,-14.517104172183968
05/23-05/29,GZO_NS,3816,-14.461583311747482
05/23-05/29,GZO_NS,4050,-14.394973680131676
05/23-05/29,GZO_NS,4290,-14.485754202270654
05/23-05/29,GZO_NS,4536,-14.53375848499907
05/23-05/29,GZO_NS,4788,-14.601932660914194
05/23-05/29,GZO_NS,5046,-14.655265314591961
05/23-05/29,GZO_HS,0,2.992385368705227
05/23-05/29,GZO_HS,60,2.826463329707668
05/23-05/29,GZO_HS,124,2.8586553413731797
05/23-05/29,GZO_HS,192,0.9045946381478891
05/23-05/29,GZO_HS,264,-0.596536989303931
05/23-05/29,GZO_HS,340,-1.3579989292301904
05/23-05/29,GZO_HS,420,-4.848591873759336
05/23-05/29,GZO_HS,504,-5.357583831174813
05/23-05/29,GZO_HS,592,-5.251429649058874
05/23-05/29,GZO_HS,684,-9.131542175686594
05/23-05/29,GZO_HS,780,-11.468088425517312
05/23-05/29,GZO_HS,880,-11.989670353510999
05/23-05/29,GZO_HS,984,-12.041810183392966
05/23-05/29,GZO_HS,1092,-12.150909707503931
05/23-05/29,GZO_HS,1204,-12.249536872480807
05/23-05/29,GZO_HS,1320,-12.350251762224696
05/23-05/29,GZO_HS,1440,-12.323466602806446
05/23-05/29,GZO_HS,1564,-12.438291802912012
05/23-05/29,GZO_HS,1692,-12.728800178331857
05/23-05/29,GZO_HS,1824,-12.656720192446242
05/23-05/29,GZO_HS,1960,-12.893445114259363
05/23-05/29,GZO_HS,2100,-13.061398781190428
05/23-05/29,GZO_HS,2244,-13.046731540582151
05/23-05/29,GZO_HS,2392,-13.027626806326767
05/23-05/29,GZO_HS,2544,-13.338731662050861
05/23-05/29,GZO_HS,2700,-13.4853910229889
05/23-05/29,GZO_HS,2860,-13.592503920758379
05/23-05/29,GZO_HS,3024,-13.557451651420342
05/23-05/29,GZO_HS,3192,-13.73040903634145
05/23-05/29,GZO_HS,3364,-13.9219503283989
05/23-05/29,GZO_HS,3540,-14.05208704071603
05/23-05/29,GZO_HS,3720,-14.193555795484395
